seller,nome,reviews_rating,reviews_total,old_money,new_money
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",4.7,(63),3.900,2.422
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",4.7,(131),3.699,2.564
,Notebook Hp Core I5 11th 16gb Ram 256gb Ssd Hdmi Wifi Win11 Prateado (Recondicionado),5.0,(2),2.499,119
Por Asus ,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 3 7320u 4gb Ram 128gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1291",4.7,(318),1.999,1.672
Por NVIDIA ,Notebook Asus Tuf Gaming F16 Fx607vj Nvidia Rtx 3050 Intel Core 5 210h 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Nível Ips 144hz Cinza - Rl007w,5.0,(5),7.299,5.552
Por Dell ,Notebook Dell 15.6  Fhd Intel I7 16gb 512gb Ssd Preto,4.8,(42),4.739,4.399
Por Dell ,Notebook Dell Inspiron I15-i120k-a10p 15.6 I3 8gb 256gb W11,4.8,(1228),3.546,3.190
,"Notebook Workstation Dell Xeon E2176 32gb, 512ssd C/garantia Preto (Recondicionado)",,,2.695,2.317
Por Login ,"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto",4.8,(448),3.599,2.899
Por Carrefour ,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Windows 11 Home 15.6"" 82VY000UBR Com 2 Anos Premium Care",4.7,(41),2.648,254
Por Asus ,Notebook Asus Zenbook S14 Oled Ux5406sa Intel Core Ultra 7 256v 16gb Ram 1tb Ssd Windows 11 Home Tela 14 Fhd 120hz Gray - Pz176w,5.0,(1),9.999,7.475
Por Micro Livre ,Notebook Lenovo Intel Core I5 8350u 8gb Ddr4 Ssd M.2 256gb - Excelente (Recondicionado),,,1.673,79
Por Asus ,"Notebook ASUS Vivobook 15 X1504VA Intel Core i5 1334U 16Gb Ram 1TB SSD Linux KeepOS Intel Iris Xe Tela 15,6"" LED FHD Silver NJ2247",4.4,(13),3.899,3.078
Por Eletro2U ,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,4.7,(625),2.479,1.799
Por Asus ,"Notebook Gamer ASUS TUF Gaming A15, Ryzen 7, RTX 2050, 8GB RAM, 512GB SSD, Tela 15.6 IPS 144Hz, Linux KeepOS, Graphite Black - FA506NFR-HN069",4.8,(160),5.754,5.006
,Notebook Lenovo Thinkpad L13 I5 10a Geração 16gb Ssd 256gb Preto (Recondicionado),,,2.099,1.931
,"Notebook Acer A515-45-r3pu R7 16gb 512ssd 15,6 Led W11",4.8,(414),3.990,190
Por Micro Livre ,Notebook Dell Latitude 3410 Core I7 10th 16gb 256gb Ssd Nvme Cor Cinza - Excelente (Recondicionado),,,3.499,2.799
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",4.6,(42),4.099,2.999
Por Mobcom ,Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,4.9,(75),6.657,4.699
,Notebook Dell Inspiron I15-i120k-a30pf I5 16gb 512 15.6 W11,4.8,(1798),4.390,421
Por NegociuN ,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Windows 11 Home 12gb RAM 512gb Ssd Wi-fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite Vjfe69f11x-b1221h - Permite upgrade de memória RAM e SSD",5.0,(23),4.718,3.324
Por Asus ,Notebook Asus Tuf Gaming F16 Fx608jhr Nvidia Rtx 5050 Intel Core I7 14650hx 16gb Ram 512gb Ssd Windows 11 Home Tela 16 165hz Nível Ips Cinza - Rv016w,4.5,(4),10.999,8.970
Por Mercado Vendeu ,Notebook i5-1135G7 Dell Inspiron 15 3520 8gb 512 15.6 W11 Prateado,,,3.767,179
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
Por Micro Livre ,Notebook Dell Latitude 3410 Core I5 10ger 16gb 240ssd Win 11 Cor Cinza - Bom (Recondicionado),,,2.176,103
Por HP ,Notebook Hp 256r G9 Intel Core I5-1334u 15.6 Hd INTEL UHD 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - Bq9l1at#ak4,,,3.999,2.999
,Notbook Lenovo T480 Intel Core I5-83350u 16gb Ssd 256gb 14 - Excelente (Recondicionado),,,1.839,87
,Notebook Vaio Intel I5 10a Geração 16gb Ssd 240gb Preto (Recondicionado),,,1.819,86
Por Fast Shop ,"Notebook Asus Vivobook Go E1504ga Intel Core I3 N305 8gb Ram 512gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj438",4.8,(154),2.506,119
Por HP ,Notebook HP 256R G9 Intel Core i5-1334U 15.6 HD Intel UHD 256GB SSD 16GB RAM Windows 11 Home 64 PLS SL - BQ9L2AT#AK4,,,3.739,3.259
,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",4.7,(931),2.199,104
